

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Wilkinson                     1267                          239                           1099                          3                             2608                          525                           575                           914                           3                             2017                          32                            20                            27                            0                             79                            4704                          
Worth                         2729                          755                           3242                          0                             6726                          580                           781                           966                           0                             2327                          56                            28                            73                            0                             157                           9210                          
Totals:                       579005                        458428                        1421609                       3575                          2462617                       360747                        791865                        1215282                       6625                          2374519                       34053                         28979                         51578                         429                           115039                        4952175                       

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            US Senate (Loeffler) - Special
                                                            Al Bartell (Ind)                                                                                                                                      Allen Buckley (Ind)                                                                                                                                   Doug Collins (Rep)                                                                                                                                    John Fortuin (Grn)                                                                                                                                    Derrick E. Grayson (Rep)                                                                                                                              Michael Todd Greene (Ind)                                                                                                                             Annette Davis Jackson (Rep)                                                                                                                           Deborah Jackson (Dem)                                                                                                                                 Jamesia James (Dem)                                                                                                                                   A. Wayne Johnson (Rep)                                                                                                                                Tamara Johnson-Shealey (Dem)                                                                                                                          Matt Lieberman (Dem)                                                                                                                                  Kelly Loeffler (I) (Rep)                                                                                                                              Joy Felicia Slade (Dem)                                                                                                                               Brian Slowinski (Lib)                                                                                                                                 Valencia Stovall (Ind)                                                                                                                                Ed Tarver (Dem)                                                                                                                                       Kandiss Taylor (Rep)                                                                                                                                  Raphael Warnock (Dem)                                                                                                                                 Richard Dien Winfield (Dem)                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Appling                       8                             3                             8                             0                             19                            5                             9                             7                             0                             21                            543                           346                           1462                          4                             2355                          8                             6                             3                             0                             17                            19                            12                            58                            0                             89                            6                             2                             7                             0                             15                            19                            7                             25                            0                             51                            58                            86                            162                           0                             306                           24                            19                            45                            0                             88                            22                            1                             41                            0                             64                            13                            10                            30                            1                             54                            20                            20                            45                            0                             85                            496                           338                           971                           2                             1807                          6                             8                             26                            1                             41                            6                             2                             15                            0                             23                            3                             2                             2                             0                             7                             0                             3                             8                             0                             11                            595                           167                           1266                          2                             2030                          172                           393                           484                           2                             1051                          9                             7                             9                             0                             25                            8159                          
Atkinson                      6                             3                             6                             0                             15                            11                            3                             8                             0                             22                            326                           74                            637                           1                             1038                          3                             0                             2                             0                             5                             16                            4                             35                            0                             55                            3                             1                             5                             0                             9                             19                            2                             17                            0                             38                            41                            23                            85                            0                             149                           15                            2                             25                            0                             42                            13                            1                             22                            0                             36                            14                            6                             33                            0                             53                            22                            9                             25                            0                             56                            275                           89                            582                           0                             946                           8                             0                             7                             0                             15                            7                             1                             2                             0                             10                            1                             0                             5                             0                             6                             1                             4                             3                             0                             8                             21                            2                             40                            0                             63                            111                           61                            234                           0                             406                           7                             3                             13                            0                             23                            2995                          
Bacon                         4                             0                             4                             0                             8                             5                             0                             8                             0                             13                            157                           196                           1292                          1                             1646                          5                             2                             3                             0                             10                            11                            18                            64                            0                             93                            4                             3                             2                             0                             9                             5                             3                             38                            0                             46                            28                            28                            49                            0                             105                           9                             14                            16                            0                             39                            18                            4                             64                            0                             86                            12                            5                             17                            1                             35                            10                            13                            26                            0                             49                            142                           232                           1173                          0                             1547                          3                             0                             9                             0                             12                            4                             0                             8                             0                             12                            0                             1                             2                             0                             3                             2                             2                             3                             0                             7                             65                            27                            370                           0                             462                           57                            110                           148                           0                             315                           5                             3                             7                             0                             15                            4512                          
Baker                         2                             4                             1                             0                             7                             1                             3                             0                             0                             4                             110                           51                            226                           1                             388                           1                             0                             2                             0                             3                             5                             2                             7                             0                             14                            0                             0                             1                             0                             1                             4                             1                             5                             0                             10                            28                            30                            31                            0                             89                            4                             6                             11                            0                             21                            5                             1                             11                            0                             17                            9                             12                            12                            0                             33                            6                             2                             11                            0                             19                            151                           67                            194                           1                             413                           2                             4                             3                             0                             9                             3                             0                             1                             0                             4                             0                             0                             0                             0                             0                             3                             0                             1                             0                             4                             2                             1                             5                             0                             8                             92                            166                           199                           0                             457                           4                             3                             6                             0                             13                            1514                          
Baldwin                       14                            20                            23                            0                             57                            21                            19                            32                            0                             72                            664                           483                           2373                          1                             3521                          13                            6                             26                            0                             45                            50                            20                            92                            0                             162                           16                            11                            36                            0                             63                            43                            18                            60                            0                             121                           233                           279                           686                           0                             1198                          70                            89                            163                           0                             322                           63                            11                            110                           0                             184                           82                            78                            204                           0                             364                           94                            102                           248                           0                             444                           946                           748                           2942                          3                             4639                          41                            18                            95                            0                             154                           37                            8                             67                            0                             112                           13                            9                             18                            0                             40                            6                             17                            30                            0                             53                            23                            12                            57                            0                             92                            950                           2238                          2978                          1                             6167                          31                            32                            69                            0                             132                           17942                         
Banks                         6                             7                             7                             0                             20                            9                             2                             16                            0                             27                            920                           603                           3181                          6                             4710                          5                             6                             7                             0                             18                            34                            5                             75                            0                             114                           3                             0                             11                            0                             14                            19                            8                             50                            0                             77                            27                            31                            51                            1                             110                           9                             9                             14                            1                             33                            20                            7                             38                            1                             66                            10                            10                            16                            0                             36                            14                            17                            44                            0                             75                            543                           399                           1659                          4                             2605                          3                             1                             8                             0                             12                            24                            7                             22                            0                             53                            2                             1                             12                            0                             15                            1                             6                             5                             0                             12                            30                            7                             24                            0                             61                            84                            240                           279                           1                             604                           4                             4                             9                             0                             17                            8679                          
Barrow                        46                            17                            61                            0                             124                           46                            36                            87                            0                             169                           1941                          1524                          6205                          1                             9671                          29                            33                            50                            0                             112                           169                           104                           328                           0                             601                           42                            20                            61                            0                             123                           142                           67                            289                           0                             498                           341                           494                           917                           0                             1752                          89                            136                           203                           0                             428                           115                           32                            238                           0                             385                           114                           165                           318                           0                             597                           168                           194                           394                           0                             756                           3106                          2314                          9061                          2                             14483                         73                            40                            146                           0                             259                           156                           66                            217                           0                             439                           33                            19                            57                            0                             109                           18                            34                            50                            0                             102                           116                           46                            262                           0                             424                           882                           2228                          2912                          3                             6025                          24                            46                            63                            0                             133                           37190                         
Bartow                        55                            26                            56                            1                             138                           63                            51                            90                            0                             204                           3258                          2163                          7459                          11                            12891                         50                            52                            58                            0                             160                           274                           104                           440                           2                             820                           53                            22                            73                            0                             148                           208                           88                            292                           0                             588                           351                           470                           749                           1                             1571                          104                           130                           237                           0                             471                           173                           39                            227                           0                             439                           132                           145                           297                           2                             576                           247                           292                           485                           1                             1025                          5526                          3496                          12157                         4                             21183                         84                            41                            143                           0                             268                           186                           83                            201                           1                             471                           39                            23                            48                            0                             110                           15                            39                            32                            0                             86                            209                           48                            383                           0                             640                           1292                          3041                          3319                          3                             7655                          53                            43                            78                            1                             175                           49619                         
Ben Hill                      6                             5                             16                            0                             27                            11                            6                             12                            0                             29                            187                           190                           1503                          0                             1880                          7                             5                             6                             0                             18                            24                            15                            56                            0                             95                            7                             3                             13                            1                             24                            14                            3                             59                            0                             76                            83                            109                           244                           0                             436                           23                            26                            72                            0                             121                           16                            5                             50                            0                             71                            35                            45                            91                            0                             171                           21                            39                            86                            0                             146                           164                           295                           1321                          0                             1780                          9                             8                             34                            0                             51                            6                             4                             13                            0                             23                            2                             3                             6                             0                             11                            1                             8                             9                             0                             18                            13                            9                             84                            0                             106                           143                           425                           740                           0                             1308                          6                             10                            37                            0                             53                            6444                          
Berrien                       12                            4                             11                            0                             27                            7                             8                             9                             0                             24                            681                           308                           1488                          4                             2481                          7                             8                             6                             0                             21                            48                            19                            74                            0                             141                           10                            1                             15                            0                             26                            16                            10                            31                            0                             57                            52                            48                            108                           0                             208                           16                            16                            22                            0                             54                            32                            7                             63                            1                             103                           13                            13                            36                            0                             62                            28                            36                            38                            0                             102                           936                           404                           1975                          3                             3318                          13                            2                             14                            0                             29                            10                            4                             12                            0                             26                            4                             5                             2                             0                             11                            2                             4                             7                             0                             13                            57                            4                             78                            0                             139                           187                           183                           331                           0                             701                           6                             7                             9                             0                             22                            7565                          
Bibb                          52                            87                            43                            0                             182                           59                            77                            70                            0                             206                           2741                          2118                          5312                          23                            10194                         52                            44                            60                            2                             158                           174                           79                            164                           3                             420                           64                            31                            56                            1                             152                           159                           77                            195                           3                             434                           1290                          1309                          2278                          25                            4902                          518                           454                           970                           10                            1952                          148                           93                            174                           1                             416                           350                           377                           678                           8                             1413                          419                           455                           706                           2                             1582                          4374                          3130                          7066                          14                            14584                         209                           101                           309                           3                             622                           142                           61                            142                           0                             345                           45                            36                            46                            0                             127                           61                            151                           115                           2                             329                           114                           28                            140                           2                             284                           5578                          10487                         14770                         61                            30896                         233                           174                           330                           5                             742                           69940                         
Bleckley                      3                             4                             8                             0                             15                            6                             3                             11                            0                             20                            362                           284                           1280                          1                             1927                          3                             4                             1                             0                             8                             24                            12                            34                            0                             70                            5                             3                             5                             0                             13                            9                             2                             23                            0                             34                            49                            42                            89                            0                             180                           17                            15                            27                            0                             59                            16                            5                             26                            0                             47                            6                             8                             15                            0                             29                            18                            19                            33                            0                             70                            494                           302                           1336                          1                             2133                          5                             1                             9                             0                             15                            11                            2                             16                            0                             29                            3                             0                             3                             0                             6                             1                             5                             4                             0                             10                            11                            2                             33                            0                             46                            190                           294                           392                           0                             876                           4                             10                            12                            0                             26                            5613                          
